time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,908,481,110,13
2026-06-30 00:00:00+00:00,867,284,211,13
2026-07-01 00:00:00+00:00,919,290,103,17
2026-07-02 00:00:00+00:00,849,211,172,15
2026-07-03 00:00:00+00:00,1849,299,256,26
2026-07-04 00:00:00+00:00,761,198,338,36
2026-07-05 00:00:00+00:00,205,105,16,8
2026-07-06 00:00:00+00:00,657,145,44,11
2026-07-07 00:00:00+00:00,1336,224,140,20
2026-07-08 00:00:00+00:00,4962,372,300,12
2026-07-09 00:00:00+00:00,3212,547,152,14
2026-07-10 00:00:00+00:00,2273,238,153,22
2026-07-11 00:00:00+00:00,2615,220,208,20
2026-07-12 00:00:00+00:00,1407,400,54,14
