time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,232,86,31,10
2026-05-01 00:00:00+00:00,121,29,121,21
2026-05-02 00:00:00+00:00,172,34,96,16
2026-05-03 00:00:00+00:00,137,31,129,15
2026-05-04 00:00:00+00:00,313,33,38,15
2026-05-05 00:00:00+00:00,109,28,45,13
2026-05-06 00:00:00+00:00,193,37,129,18
2026-05-07 00:00:00+00:00,192,33,42,7
2026-05-08 00:00:00+00:00,102,24,96,14
2026-05-09 00:00:00+00:00,2191,124,286,15
2026-05-10 00:00:00+00:00,3127,423,86,54
2026-05-11 00:00:00+00:00,1022,224,148,39
2026-05-12 00:00:00+00:00,321,178,45,13
2026-05-13 00:00:00+00:00,440,252,14,7
