url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,200,74
/YosemiteCrew/Yosemite-Crew/pulls,75,12
/YosemiteCrew/Yosemite-Crew/issues,46,12
/YosemiteCrew/Yosemite-Crew/pull/1459,32,5
/YosemiteCrew/Yosemite-Crew/graphs/contributors,29,6
/YosemiteCrew/Yosemite-Crew/actions,20,1
/YosemiteCrew/Yosemite-Crew/actions/workflows/repo-stats.yml,20,1
/YosemiteCrew/Yosemite-Crew/pull/1463,17,3
/YosemiteCrew/Yosemite-Crew/pull/1466,17,3
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,17,2
